Start Timestep,End Timestep,Average Episodic Return
458000,458000,41.092026
458400,458400,13.975372
458800,459200,28.753927
459600,459600,47.868946
460000,460000,18.32558
460400,460800,41.933067
461200,461200,26.642729
461600,461600,31.926075
462000,462000,5.920602
462400,462800,25.649658
463200,463200,15.570551
463600,463600,50.456352
464000,464000,46.80003
464400,464800,16.65559
465200,465200,9.763049
465600,465600,16.672562
466000,466400,21.690994
466800,466800,11.154125
467200,467200,28.71766
467600,467600,44.30169
468000,468400,28.816086
468800,468800,38.463158
469200,469200,27.149345
469600,470000,25.672565
470400,470400,24.391254
470800,470800,31.105202
471200,471200,31.0077
471600,472000,16.392769
472400,472400,33.97162
472800,472800,35.116943
473200,473600,20.852991
474000,474000,21.167799
474400,474400,22.141485
474800,474800,30.20171
475200,475600,27.169743
476000,476000,21.163506
476400,476400,30.501024
476800,476800,15.649564
477200,477600,30.973072
478000,478000,42.19221
478400,478400,45.58434
478800,479200,27.214684
479600,479600,44.584557
480000,480000,13.841213
480400,480400,22.940887
480800,481200,30.818678
481600,481600,19.001415
482000,482000,34.067368
482400,482800,20.363148
483200,483200,19.685917
483600,483600,28.271492
484000,484000,40.88276
484400,484800,16.909086
485200,485200,30.393806
485600,485600,31.219362
486000,486400,25.442856
486800,486800,36.481422
487200,487200,34.58884
487600,487600,24.723854
488000,488400,29.920872
488800,488800,21.498932
489200,489200,41.33135
489600,489600,31.641056
490000,490400,23.240627
490800,490800,26.118797
491200,491200,42.066494
491600,492000,41.710823
492400,492400,21.111145
492800,492800,20.838457
493200,493200,45.45603
493600,494000,25.237095
494400,494400,53.1265
494800,494800,20.225668
495200,495600,28.065245
496000,496000,28.758926
496400,496400,28.5043
496800,496800,33.517776
497200,497600,25.684757
498000,498000,45.534225
498400,498400,31.057316
498800,499200,25.323227
499600,499600,38.21148
500000,500000,14.809826
500400,500400,35.516808
500800,501200,31.9188
501600,501600,27.804102
502000,502000,32.331757
502400,502400,21.928547
502800,503200,20.484596
503600,503600,16.097624
504000,504000,43.638855
504400,504800,33.819504
505200,505200,24.768541
505600,505600,21.057663
506000,506000,36.41165
506400,506800,37.05258
507200,507200,24.595024
507600,507600,54.384243
508000,508400,39.05674
508800,508800,25.316067
509200,509200,34.124825
509600,509600,22.350073
510000,510400,30.814983
510800,510800,30.712599
511200,511200,40.428604
511600,512000,30.313305
512400,512400,35.328865
512800,512800,17.9738
513200,513200,47.885777
513600,514000,31.471573
514400,514400,37.332706
514800,514800,30.571144
515200,515200,22.792679
515600,516000,31.964567
516400,516400,21.073744
516800,516800,19.64315
517200,517600,34.48136
518000,518000,36.616394
518400,518400,28.687294
518800,518800,27.786716
519200,519600,16.395687
520000,520000,13.627855
520400,520400,36.215355
520800,521200,29.812843
521600,521600,23.718857
522000,522000,46.916145
522400,522400,25.268452
522800,523200,28.895082
523600,523600,32.911556
524000,524000,24.999352
524400,524800,24.029102
525200,525200,34.63361
525600,525600,7.796727
526000,526000,31.472006
526400,526800,19.743465
527200,527200,45.655083
527600,527600,26.960352
528000,528000,23.459133
528400,528800,32.15789
529200,529200,24.879139
529600,529600,40.7741
530000,530400,29.194784
530800,530800,41.32551
531200,531200,18.559315
531600,531600,41.040974
532000,532400,39.826694
532800,532800,34.330235
533200,533200,31.807518
533600,534000,44.838818
534400,534400,18.719696
534800,534800,50.03572
535200,535200,32.646645
535600,536000,41.322105
536400,536400,38.468365
536800,536800,24.756138
537200,537600,33.475098
538000,538000,29.938158
538400,538400,28.662018
538800,538800,48.54371
539200,539600,25.324512
540000,540000,23.131111
540400,540400,21.752602
540800,540800,31.197098
541200,541600,25.813335
542000,542000,48.14599
542400,542400,21.314533
542800,543200,34.00885
543600,543600,36.33799
544000,544000,33.49041
544400,544400,47.697823
544800,545200,35.728447
545600,545600,44.192886
546000,546000,59.847633
546400,546800,37.787502
547200,547200,50.12391
547600,547600,34.83499
