## SLURM PROLOG ###############################################################
##    Job ID : 8517521
##  Job Name : runs_rocksample_15_15_transformer
##  Nodelist : gpu2103
##      CPUs : 
##  Mem/Node : 32768 MB
## Directory : /oscar/home/kguo32/pobax/scripts/launching
##   Job Started : Sat Feb 22 07:09:34 PM EST 2025
###############################################################################
obs (65,)
timesteps=217104 - 218896, avg episodic return=10.00
timesteps=217616 - 218640, avg episodic return=10.00
timesteps=217360 - 218896, avg episodic return=10.00
timesteps=217488 - 218640, avg episodic return=10.00
timesteps=219152 - 221072, avg episodic return=10.00
timesteps=219152 - 220944, avg episodic return=10.67
timesteps=219152 - 221072, avg episodic return=8.89
timesteps=219152 - 220560, avg episodic return=10.00
timesteps=219280 - 221072, avg episodic return=12.86
timesteps=222096 - 222736, avg episodic return=10.00
timesteps=221200 - 223120, avg episodic return=9.23
timesteps=221328 - 222736, avg episodic return=6.67
timesteps=221712 - 222864, avg episodic return=10.00
timesteps=221328 - 222608, avg episodic return=10.00
timesteps=223504 - 223888, avg episodic return=8.00
timesteps=223248 - 224656, avg episodic return=10.00
timesteps=223376 - 224528, avg episodic return=7.78
timesteps=223888 - 224528, avg episodic return=10.00
timesteps=223248 - 225168, avg episodic return=10.00
timesteps=225296 - 227216, avg episodic return=10.00
timesteps=225296 - 227216, avg episodic return=10.00
timesteps=225296 - 226832, avg episodic return=8.57
timesteps=225296 - 226960, avg episodic return=10.00
timesteps=225296 - 227088, avg episodic return=10.00
timesteps=227600 - 229264, avg episodic return=10.00
timesteps=228112 - 229264, avg episodic return=10.00
timesteps=227728 - 228496, avg episodic return=10.00
timesteps=227344 - 228880, avg episodic return=10.00
timesteps=228112 - 229008, avg episodic return=10.00
timesteps=229776 - 231056, avg episodic return=10.00
timesteps=229776 - 231312, avg episodic return=10.00
timesteps=229904 - 231312, avg episodic return=11.43
timesteps=230032 - 231184, avg episodic return=10.00
timesteps=229648 - 231184, avg episodic return=10.00
timesteps=231568 - 233104, avg episodic return=10.00
timesteps=231568 - 233104, avg episodic return=10.00
timesteps=231440 - 232592, avg episodic return=10.00
timesteps=231952 - 233360, avg episodic return=10.00
timesteps=231440 - 233104, avg episodic return=10.00
timesteps=233744 - 234896, avg episodic return=10.00
timesteps=234000 - 235280, avg episodic return=10.83
timesteps=233616 - 235024, avg episodic return=11.54
timesteps=233744 - 235152, avg episodic return=10.00
timesteps=233488 - 235408, avg episodic return=10.00
timesteps=235920 - 237456, avg episodic return=10.00
timesteps=235664 - 236944, avg episodic return=10.91
timesteps=235664 - 237456, avg episodic return=8.18
timesteps=235792 - 237456, avg episodic return=8.00
timesteps=235920 - 237328, avg episodic return=10.00
timesteps=237840 - 239376, avg episodic return=10.00
timesteps=237712 - 238608, avg episodic return=10.00
timesteps=237712 - 239120, avg episodic return=10.00
timesteps=237840 - 238608, avg episodic return=10.00
timesteps=238096 - 239248, avg episodic return=10.00
